Date,Team,TMValue
2022-03-15,Académico Viseu FC,4.9
2022-03-15,SC Farense,7.23
2022-03-15,CD Tondela,20.95
2022-03-15,CD Mafra,5.78
2022-03-15,UD Vilafranquense,5.75
2022-03-15,B SAD,15.13
2022-03-15,FC Penafiel,4.95
2022-03-15,SC União Torreense,2.03
2022-03-15,CD Nacional,8.15
2022-03-15,CD Trofense,4.83
2022-03-15,CD Feirense,5.33
2022-03-15,Leixões SC,5.38
2022-03-15,CF Estrela Amadora SAD,5.18
2022-03-15,SC Covilhã,3.48
2022-03-15,UD Oliveirense,2.08
2022-03-01,SL Benfica,270.5
2022-03-01,FC Porto,222.3
2022-03-01,Sporting CP,251.7
2022-03-01,SC Braga,103.8
2022-03-01,FC Famalicão,46.25
2022-03-01,Vitória Guimarães SC,41.95
2022-03-01,Gil Vicente FC,15.6
2022-03-01,FC Paços de Ferreira,18.1
2022-03-01,GD Estoril Praia,25.45
2022-03-01,CD Santa Clara,18.43
2022-03-01,Boavista FC,22.6
2022-03-01,Portimonense SC,24.58
2022-03-01,Rio Ave FC,10.45
2022-03-01,CS Marítimo,14.45
2022-03-01,FC Vizela,14.95
2022-03-01,Casa Pia AC,5.75
2022-03-01,FC Arouca,14.2
2022-03-01,GD Chaves,5.4
2022-03-01,SL Benfica B,9.38
2022-03-01,FC Porto B,16.15
2022-03-01,Moreirense FC,14.75
2022-03-01,Académico Viseu FC,4.9
2022-03-01,SC Farense,7.53
2022-03-01,CD Tondela,20.95
2022-03-01,CD Mafra,5.78
2022-03-01,UD Vilafranquense,5.75
2022-03-01,B SAD,15.13
2022-03-01,FC Penafiel,4.95
2022-03-01,SC União Torreense,2.03
2022-03-01,CD Nacional,8.15
2022-03-01,CD Trofense,4.83
2022-03-01,CD Feirense,5.33
2022-03-01,Leixões SC,5.38
2022-03-01,CF Estrela Amadora SAD,5.18
2022-03-01,SC Covilhã,3.48
2022-03-01,UD Oliveirense,2.08
2022-02-15,SL Benfica,270.5
2022-02-15,FC Porto,225.3
2022-02-15,Sporting CP,251.7
2022-02-15,SC Braga,103.8
2022-02-15,FC Famalicão,46.25
2022-02-15,Vitória Guimarães SC,41.95
2022-02-15,Gil Vicente FC,15.6
2022-02-15,FC Paços de Ferreira,18.1
2022-02-15,GD Estoril Praia,25.45
2022-02-15,CD Santa Clara,18.43
2022-02-15,Boavista FC,22.6
2022-02-15,Portimonense SC,24.88
2022-02-15,Rio Ave FC,10.45
2022-02-15,CS Marítimo,14.45
2022-02-15,FC Vizela,14.95
2022-02-15,Casa Pia AC,5.75
2022-02-15,FC Arouca,14.2
2022-02-15,GD Chaves,5.4
2022-02-15,SL Benfica B,9.38
2022-02-15,FC Porto B,16.15
2022-02-15,Moreirense FC,14.75
2022-02-15,Académico Viseu FC,4.9
2022-02-15,SC Farense,7.53
2022-02-15,CD Tondela,20.95
2022-02-15,CD Mafra,5.78
2022-02-15,UD Vilafranquense,5.75
2022-02-15,B SAD,15.13
2022-02-15,FC Penafiel,4.95
2022-02-15,SC União Torreense,2.18
2022-02-15,CD Nacional,8.15
2022-02-15,CD Trofense,4.83
2022-02-15,CD Feirense,5.33
2022-02-15,Leixões SC,5.38
2022-02-15,CF Estrela Amadora SAD,5.18
2022-02-15,SC Covilhã,3.48
2022-02-15,UD Oliveirense,2.18
2022-02-01,SL Benfica,287.8
2022-02-01,FC Porto,224.3
2022-02-01,Sporting CP,239.5
2022-02-01,SC Braga,109.9
2022-02-01,FC Famalicão,44.55
2022-02-01,Vitória Guimarães SC,53.85
2022-02-01,Gil Vicente FC,15.6
2022-02-01,FC Paços de Ferreira,18.5
2022-02-01,GD Estoril Praia,25.0
2022-02-01,CD Santa Clara,19.13
2022-02-01,Boavista FC,22.6
2022-02-01,Portimonense SC,26.58
2022-02-01,Rio Ave FC,10.6
2022-02-01,CS Marítimo,14.45
2022-02-01,FC Vizela,14.95
2022-02-01,Casa Pia AC,5.8
2022-02-01,FC Arouca,14.2
2022-02-01,GD Chaves,5.4
2022-02-01,SL Benfica B,9.53
2022-02-01,FC Porto B,16.05
2022-02-01,Moreirense FC,15.55
2022-02-01,Académico Viseu FC,5.23
2022-02-01,SC Farense,7.63
2022-02-01,CD Tondela,21.43
2022-02-01,CD Mafra,6.25
